Ref,Val,Package,PosX,PosY,Rot,Side
"BProg1","SW_DIP_x02","SW_SPST_CK_RS282G05A3",-164.856000,-90.875800,0.000000,bottom
"BRst1","SW_DIP_x01","SW_SPST_CK_RS282G05A3",-152.867200,-90.875800,180.000000,bottom
"BT1","Battery_Cell","BatteryHolder_MPD_BH-18650-PC2",-189.391800,-77.187200,180.000000,bottom
"CB3","22u","CP_Elec_6.3x5.8",-121.676000,-119.120600,90.000000,bottom
"CB5","22u","CP_Elec_6.3x5.8",-137.678000,-121.609800,90.000000,bottom
"C_b1","C_Polarized","CP_Elec_6.3x5.8",-125.130400,-134.563800,-90.000000,bottom
"SWRec1","SW_DIP_x01","PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left",-167.036000,-136.408000,180.000000,bottom
