"Source:","D:\Mis documentos\Documentos\GitHub\Easyrun\Circuit Design\Final Schematic\Easyrun.kicad_sch"
"Date:","14/05/2022 3:37:33 p. m."
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","76"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comment","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","STANDARD"
"","","J_Lector_2","Conn_01x08","Connector_Generic:Conn_01x08","Connector_JST:JST_EH_S8B-EH_1x08_P2.50mm_Horizontal","~","","","",""
"","","J_Lector_3","Conn_01x08","Connector_Generic:Conn_01x08","Connector_JST:JST_EH_S8B-EH_1x08_P2.50mm_Horizontal","~","","","",""
"","","J_M1","Conn_01x03","Connector_Generic:Conn_01x03","Connector_JST:JST_EH_S3B-EH_1x03_P2.50mm_Horizontal","~","","","",""
"","","J_M2","Conn_01x03","Connector_Generic:Conn_01x03","Connector_JST:JST_EH_S3B-EH_1x03_P2.50mm_Horizontal","~","","","",""
"","","J_prog1","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","~","","","",""
"","","J_Tap_1","62409-1","Connector_Faston:62409-1","TE_62409-1","","62409-1","","",""
"","","J_Tap_2","62409-1","Connector_Faston:62409-1","TE_62409-1","","62409-1","","",""
"","","J_Tap_B1","62409-1","Connector_Faston:62409-1","TE_62409-1","","62409-1","","",""
"","","J_Tap_B2","62409-1","Connector_Faston:62409-1","TE_62409-1","","62409-1","","",""
"","","J_Tap_B3","62409-1","Connector_Faston:62409-1","TE_62409-1","","62409-1","","",""
"","","J_Tap_B4","62409-1","Connector_Faston:62409-1","TE_62409-1","","62409-1","","",""
"","","Lb1","L","Device:L","Inductor_THT:L_Toroid_Vertical_L25.4mm_W14.7mm_P12.20mm_Vishay_TJ5_BigPads","~","","","",""
"","","LB3","100u","Device:L","Inductor_THT:L_Toroid_Vertical_L25.4mm_W14.7mm_P12.20mm_Vishay_TJ5_BigPads","~","","","",""
"","","LB5","100u","Device:L","Inductor_THT:L_Toroid_Vertical_L25.4mm_W14.7mm_P12.20mm_Vishay_TJ5_BigPads","~","","","",""
"","","LProg1","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","",""
"","","Lrec1","440m","Device:L","Inductor_THT:L_Toroid_Vertical_L25.4mm_W14.7mm_P12.20mm_Vishay_TJ5_BigPads","~","","","",""
"","","Qb1","IRF740","Transistor_FET:IRF740","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.vishay.com/docs/91054/91054.pdf","","","",""
"","","R1","10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R4","10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R5","220","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R6","220","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R_GREEN1","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R_prog1","47","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R_Prog1","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","R_RED1","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","Ra1","47","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","RB1","10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","Rb1","100","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","RB2","10K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","RI2C1","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","RI2C2","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","RMISO1","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","Ro1","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","",""
"","","SWRec1","SW_DIP_x01","Switch:SW_DIP_x01","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left","~","","","",""
